LABEL,TEXT,URL,EMAIL,PHONE
spam,special offerlast  days leftsubscribe poweryourtrade for as low as rs  get  month gamechangers by ambareesh baliga freeclick httpbitlyitrucg,No,No,No
smishing,"Your Account has been limited. We have locked your Account ID because our service has detected two unauthorized attempt. To unlock your account, you required verify your Account. Click the link below to unlock your Account : http://s950928458.onlinehome.us Your account will be automatically unlock, after finishing the verification. Best Regards, Paypal service.",Yes,No,Yes
spam,taxiforsure jaipur  book most affordabletaxiforsure cab and get  off on all rides upto rs   use code off on ola app tca,No,No,No
spam,Paid Rs.10.00 to Art of Living Yoga at 4:31 PM. Order ID: QR24BA6FCC188E3140 . Updated Balance: Paytm Wallet- Rs 2611.65,No,No,No
ham,I sent your maga that money yesterday oh.,No,No,No
ham,"Haha figures, well I found the piece and priscilla's bowl",No,No,No
ham,Lol or I could just starve and lose a pound by the end of the day.,No,No,No
smishing,Y'ello! Your SIM registration information is incomplete  kindly reply this text with your STATE OF ORIGIN (e.g Lagos  FCT  Kano) and get N400 MTN2MTN call. SMS is Free. Thank you.,No,No,No
spam,wwweasemytripin  travel with ease book your airtickets  hotels from easemytrip for easy bookings  easy refunds  use paytm wallet  get  cashback,No,No,No
ham,How much is blackberry bold2 in nigeria.,No,No,No
spam,special grocery offer hurry only pm get flat rs off extra  off on mobikwik code getd  time use min order wwwaskmegrocerycom tc apply,No,No,No
smishing,g fc welcome to naukricomverify your mobile number now to let recruiters contact you and get job offers on phoneto verify just fwd this sms to,No,No,No
smishing,Your NAB account have be temporarily block for unusual GPRS activity Please confirm your device at www.nab ib.online and follow the unlock procedure,Yes,No,No
spam,shop till you drop get flat    off on pantaloons only on trendin dont miss out httpgooglbdbaf,No,No,No
ham,Jordan got voted out last nite!,No,No,No
ham,Smith waste da.i wanna gayle.,No,No,No
spam,dear buyer  we are cancelling your cod order abp from radhika industries as it has incomplete detailsrequest you to place a fresh order with complete address details we would love to see you soon shopping at askmebazaar buyer support special offer just for you avail  off on all your grocery needs use coupon flat on httpwwwaskmegrocerycom,No,No,No
ham,here is my new address -apples&pairs&all that malarky,No,No,No
smishing,hi  my phone is now reachable  you can call me now get missed call alerts dial   offer aa pmin  ftttt,No,No,No
ham,Mum not going robinson already.,No,No,No
ham,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave...,No,No,No
smishing,it cant get better avail buy get on vincent chase sunglasses  bookmyshow voucher worth rs free  httpmsggdsfwtsbhr,No,No,No
spam,krome sale is back upto  off on menswear  womenswear styles from the best brands shop for rs   get enrolled as a citizen  get extra  off,No,No,No
smishing,"You've won tkts to the EURO2004 CUP FINAL or ??800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",No,No,Yes
spam,its india vs pak today keep calm and order for home delivery from dunkin donuts get  off on min bill  max discount  walk incall the dd storeorder online at zomato valid till  mar tc,No,No,No
ham,Haha i think i did too,No,No,No
smishing,Dear customer Your State bank of india account have be suspend Please Aadhaar card update in your account click here link http://is.gd/ mYPJkw SBI,Yes,No,No
smishing,Hi ABHIJIT Today 's Offer Activate FREE IIFL Demat Account to Manage your Karvy Holdings Get Free Stock upto Rs 5000. http://nmc.sg/iygiav -IIFLSL,Yes,No,No
spam,4 N1000 monthly plan,No,No,No
spam,get assured cashback upto rs  assured gold upto  gms  great offers on tvs  mobiles  laptop  more at reliance digital valid only on th nov tc,No,No,No
ham,"Ok., is any problem to u frm him? Wats matter?",No,No,No
spam,gupshup wednesday get rs  cashback on bill paymentsrecharges of rs or more every wednesday pay via payzapp in one clickdownloadapppayzappintc,No,No,No
spam,khadi natural last hour offer apply coupon code khadiex and get  off on all range on purchasing of rs   above  apply code khadiex to get   discount exclusively on essential oils  sunscreen lotions offer valid till tonight  pm hurry shop at wwwkhadinaturalcom,No,No,No
smishing,grocery jackpot offer hurry pmpm today flat rs off extra  off on mobikwik couponget free delivery minorderrs wwwaskmegrocerycom tc apply,No,No,No
spam,get  offselectedproducts this summerat mufti forlimited period ph  mufti reliance megamall op roadbaroda,No,No,No
spam,EE We be unable to process your late bill In order to avoid fee update your bill information via http://ee-update.ref042.com ÃÂµe=2,Yes,No,No
spam,PAYTM WE WELL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH XXXXXXXXXX,No,No,No
smishing,ALERT Your Bmo Bank account have be suspend To unlock your account click here http://bit.ly/ X EeZ6m2,Yes,No,No
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,No,No,No
smishing,Dear Customer your YONO SBI account will be block today please update your PAN CARD number and click here link http://cutt.ly/uPcEet8,Yes,No,No
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,No,No,No
spam,hurry less than  hours left to avail  cashback on every spasalon checkins enter code  style  explore  httpbitlymtrd,No,No,No
ham,meet you in corporation st outside gap … you can see how my mind is working!,No,No,No
spam,ETHNIC's AUGUST PROMO! FLAT 30% OFF on ENTIRE STOCK. Shop Now at bit.ly/3zy0gwR & IN STORES from 11th till 14th August.,No,No,No
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",No,No,No
ham,So i asked how's anthony. Dad. And your bf,No,No,No
ham,Does daddy have a bb now.,No,No,No
spam,hurry it ends at pm big grocery sale save big upto  flat off  extra off on mobikwik usecode ss minorder maxdisc wwwaskmegrocery,No,No,No
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,No,No,No
ham,Lol its ok I didn't remember til last nite,No,No,No
smishing,Shed that unwanted weight effortlessly! Text WEIGHT to 33201 & receive healthy yet effective tips on weightloss. N30/SMS. Text STOP to 33111 to Opt-Out,No,No,No
spam,vodafone special offer me rs ke recharge pe rska talktimeoffer agle din tak valid extra balance recharge ke hrs me,No,No,No
spam,plaintiff assailing order passed under o  r  cpc rejecting the application for recall  restoration  order is appealable under o  r  petition under article  not maintainable  dismissed on the ground of alternative remedy smt rampati v principal judge  fc  wp    ahc,No,No,No
smishing,transform ur body lose upto  kg  inch in  days wo yoga dieting  exercisemore info sms kare ayd to,No,No,No
ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?",No,No,No
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",No,No,No
spam,We have an inheritance fund of ÃÂ£ XX Million GBP for you from our late client Email Richard on hotmail.com for info Send your Name Cell,No,No,No
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",No,No,No
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,No,No,No
smishing,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mi? Reply or call 08000930705 NOW,No,No,Yes
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm.",No,No,No
smishing,buy one get one free just got cheesier buy any dominator or cheese burst pizza  get a similar pizza absolutely free only today order on  tc apply,No,No,No
ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,No,No,No
smishing,dear aristocracy member  we have added  points to your account you now have  points redeem them at the arrow store this weekend before they expire tc,No,No,No
ham,No no. I will check all rooms befor activities�that�s required�,No,No,No
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",No,No,No
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,No,No,No
ham,Yup no more already... Thanx 4 printing n handing it up.,No,No,No
ham,"Just looked it up and addie goes back Monday, sucks to be her",No,No,No
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3.",No,No,No
spam,summer break going ondont waste itwe have a grt offer just fr u in ifitness green park exclusive student offer get  on valid till may tc hurry,No,No,No
smishing,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net",Yes,No,No
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,No,No,No
spam,get your course books at never before prices with upto  off check wwwystudyin to know more,No,No,No
smishing,Track your order every step of the way in the Shop app: https://qvay.app.link/e/VVhoag801tb Reply STOP to unsubscribe Track your order every step of the way in the Shop app: https://shop.app/download Reply STOP to unsubscribe Track your order every step of the way in the Shop app: https://shop.app/download Reply STOP to unsubscribe,Yes,No,No
spam,book dream home  rs  lacs jvts greens dwarka l zone delhi veteran defence forces group yrs old  bhk best deal,No,No,No
spam,your home Unbox now to a big good home Stamp duty saving extend upto 31st July by Lodha T C bitlyk.com/cac11w397 XXXXXXXXXXX,No,No,No
ham,Jus finish blowing my hair. U finish dinner already?,No,No,No
smishing,Y'ello  your data bundle balance is 295.70MB  expires: 11/Jun/2014 17:59. you have 68.90MB of your additional data bundle  expires: 11/Jun/2014 12:00. You will be charged bundle rate at data bundle exhaustion with subscription validity.,No,No,No
ham,"Carlos took a while (again), we leave in a minute",No,No,No
smishing,hello fashionbunny service is now active on your number  as requestedthis service is valid till  and a  days rental of rs has been deduct,No,No,No
smishing,CreditScore Change -ALERT New item on your report Verify for free at http://XXXX,Yes,No,No
spam,Keep it light style with AIR Lenskart 's Ultra Light Super Flexible AIR Eyeglasses X for Rs XXXX with lens Shop Now App Iskt.me/z9 Store Iskt.me/u9 T C AX LNKART 24/08/19,No,No,No
spam,aircel internet offer recharge with unlimited rc and get gb gg internet valid for  days hurry up gb internet at just rs recharge,No,No,No
smishing,mb g data for  days free unltd song downloads on wynk httpwynkinmurj data charges applyshare gg data pack for freemissed call to tollfree free music on airtelclick httpwynkinmurj,No,No,No
smishing,Hi Am Dr.Shally Moore from Canada.Working in Lodwar Kenya with UNHCR look for a God fearing partner for marriage If interested CALL TEXT XXXXXXXXXX,No,No,No
spam,happy birthday heres a little gift from clubmoreget  off on ur next bill till  jan moresupermarket show code to cashiermax disc rstc,No,No,No
ham,My battery is low babe,No,No,No
spam,n in ho contest offer valid till st jan,No,No,No
ham,I could ask carlos if we could get more if anybody else can chip in,No,No,No
spam,few days left on ghar bharo sale with askmegrocery get  off on all products use flat for  off  extra  mobikwik cashback visit httpgooglakkes,No,No,No
ham,Exactly. Anyways how far. Is jide her to study or just visiting,No,No,No
smishing,Replying to USER Dear Bhagyesh This SMS be send to help you get instant update on your SBI Credit Card 's Payment due date Credit Limit Transactions make Reward point accrue and a lot more by simply register on our website,No,No,No
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .,No,No,No
ham,"I've got ten bucks, jay is being noncomittal",No,No,No
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",No,No,No
spam,Na CHEMSTRY hoti  Na mai iska stdnt hota  Na ye lab hoti  Na ye heart accidnt hota..Prctcl k din nazar ayi 1 ladki khubsurat si   Uski nak bilkul TEST TUBE Ab paye 200 Local Aircel to Aircel mins . Aaj hi recharge kare keval Rs45 se. Ek RC mein itna kuch sirf Aircel ke sath hi mil sakta hai! Validity 60 days.,No,No,No
smishing,Dear Customer your Jio SIM KYC have be Expired Today please Call Customer care,No,No,No
smishing,You still have an outstanding tax refund from last year Please visit our secure link to process http://tax.refund t5r.com/,Yes,No,No
ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,No,No,No
spam,Sign in myGov Welcome please sign in All citizen must update their bank detail by XX Sep XXXX mygovaustralia.com,No,No,No
ham,ITS A LAPTOP TAKE IT WITH YOU.,No,No,No
ham,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",No,No,No
spam,rs  only get  gb g data get  seconds for all india mobile calls valid for  days vodafone offer valid till  only recharge with rs now,No,No,No
smishing,Pearce you 've win our mystery box this week please use this link to schedule the delivery http://www.t5.ai/s/2nommt/4p6 BBL,Yes,No,No
ham,Yes i thought so. Thanks.,No,No,No
smishing,BONUS ALERT Recharge with a Bigga plan and get Double the Data Bonus valid for XX day Click http://bit.ly/1YyYIsA to buy Offer valid till 16th May Smile,Yes,No,No
ham,No. Yes please. Been swimming?,No,No,No
smishing,idea offers for the day rctt  rc tt rcmb  days dial  for special offers,No,No,No
smishing,vodafone special discount offers on iphones get latest iphones just in rs or  money back dial  toll free,No,No,No
ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,No,No,No
spam,xiaomi mi mah power bank to keep your gadgets alive use coupon aprlebay to buy on ebay at rs only on httpgooglrlr limited stocks,No,No,No
ham,Networking job is there.,No,No,No
smishing,thanks for your order now get rs mobile free topup download telebuys payqwik app from httpgooglonkdli use couponcode pqtbuyta rgds telebuy,No,No,No
ham,How do you plan to manage that,No,No,No
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",No,No,No
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",No,No,No
spam,ONLY FOR GIRLS BBA/MBA/EXECUTIVE MBA/B.SC.IT/BIO TECH/B.TECH FLEXIBLE TIMINGS GOVT.RECOGNIZED(www.bsaitm.in) JOIN BSAITM VIKASPURI 9873000679/9650354070,Yes,No,Yes
ham,But pls dont play in others life.,No,No,No
ham,Lol ok. I'll snatch her purse too.,No,No,No
smishing,Your SMS bundle has been granted a bonus of 1 SMS valid until 05/09/2014,No,No,No
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,No,No,No
ham,I cant pick the phone right now. I will call u back..,No,No,No
ham,Takin a shower now but yeah I'll leave when I'm done,No,No,No
spam,Dear ABHIMANYU Your withdrawal request of 209000.0 from your BharatSwipe A c have be initiate and will be settle in your KOTAK MAHINDRA BANK LIMITED A c by the XX Dec,No,No,Yes
smishing,"Good morning, my name is Sergeant Vo, a career counselor for the military in Clovis, CA. I'm reaching out to see if you would be interested in sitting down for more information about the Army benefits and programs, including money for education and up to $50,000 in bonuses.",No,No,No
spam,shop more  save even more up to  off on trendin stock up the most happening styles before they run out get them now httpgooglhfopyh tc apply,No,No,No
spam,special offer rs talktime tnc,No,No,No
ham,It vl bcum more difficult..,No,No,No
spam,"Celebrate Big! Uniworth's Pakistan Day Sale is Live, 22 to 26 Mar. Shop for Ethnic Wear at Flat 13% & Flat 23% Off. In stores & online: https://bit.ly/36Hmh1U",Yes,No,No
smishing,Now a Saving plan that gives you Guaranteed Returns irrespective of market fluctuations. SMS PD to 56070 to know more.,No,No,No
ham,Hey company elama po mudyadhu.,No,No,No
ham,Why you Dint come with us.,No,No,No
smishing,hi sandesh   download new jd app  get a chance to win ipad httpjsdlinapps  shubh acrylic  ratings andheri west  ph  address httpjsdlinmaprlk  contest tc httpjsdlinmbtc,No,No,No
smishing,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,No,No,Yes
smishing,DID YOU KNOW You can get Glo product & service details by dialling a single number. Just dial 500 & get any information you want any time of the day for FREE!,No,No,No
ham,So how many days since then?,No,No,No
smishing,Clicks ClubCard Hi X we want to ensure that we have your current contact detail Please check your own profile on the Clicks APP or website use your password or use this unique secure link http://bds.ms,Yes,No,No
smishing,dea magic recharge get up to gb g    assured benefit  gb  days dial  to activate limited period offer,No,No,No
smishing,christmas offerrsloc callspsec  din dial  download my vodafone appclick  wwwvodafoneinmvvf,No,No,No
ham,Hey u still at the gym?,No,No,No
ham,Have a nice day my dear.,No,No,No
ham,"Sorry, u need to wait",No,No,No
spam,ultimate healing soothing experience  rs onlywid membership experience signaturesiam fusion  swedishpampering magical aroma bodymassage,No,No,No
spam,easemytrip app  get rs cashback while booking airtickets using paytm wallet on easemytrip android application  for details  httpchkbzgpukpyar,No,No,No
smishing,sony bravia led special discount offer on vodafone for offer details click httpmmydelightsinpr,No,No,No
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,No,No,No
smishing,experience our newly launched mobile app with a host of conveniences right at your fingertips download our app today  feel empowered available on android tata power,No,No,No
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,No,No,No
spam,Your health card XXX8637 for Rs X lakh to X crore be approve Register now to check status http://mbia.com KPKALOPMYLHPWW,Yes,No,No
ham,I will reach ur home in  &lt;#&gt;  minutes,No,No,No
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,No,No,No
ham,"Sir Goodmorning, Once free call me.",No,No,No
smishing,"Congratulations! You have received Rs. 12,000 Aid. Contact 03494066072.",No,No,Yes
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,No,No,Yes
spam,Hi I throw up at the bar the other day Although we do n't know each other at that time if you be willing to accept me please add my whatsapp XXXXXXXXXXX,No,No,No
spam,get  off on stylish helmet  off on prepaid transaction only on askme bazaar httpgooglffuxs extra  mobikwik cashback,No,No,No
smishing,"Congratulation you be winner of Paytm Mall company online shopping you win X st prize Tata nexon car or amount RS 6,90,000 plz you have pay government service tax RS XXXX in state bank of India date 20/09/2019 deposit detail helpline number +916207199538",No,No,Yes
spam,We do not make many mistakes. We repeat the same mistakes many times and keep expecting a different result every time.,No,No,No
smishing,bulk sms offer buy  lac sms pack get  extra only  rs buy  lac sms pack get  extra only  rs limited offer rs solution call,No,No,No
spam,tuesday offer recharge by rs  get upto rs tt along with gb data plus unltd wa fb tw for  daysdial  for best offertnc applyrgsm,No,No,No
ham,I will reach ur home in 10 minutes..lets meet..,No,No,No
spam,last  days for exclusive rice festival offer for t users additional  off on india gate  dawat basmati rice coupon code is  hurryvalid jan,No,No,No
smishing,hi your janasya blue faux chiffon saree has been delivered thank you for shopping at snapdeal download app for more offers httpbitlyhwq,No,No,No
spam,dear customer earn as you fly get rs  cashback on your next flight book through http bit do smartbuy,No,No,No
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",No,No,No
spam,Hi Mr./Ms Certified Flipkrat urgently recruit Part-job/ Full-job Maximum daily salary about 10000Rs Accept Job on whatsapp wa.me/ XXXXXXXXXXXX TMD,No,No,No
spam,super location Top Developer With Luxurious Amenities USER USER E Launching X BHK With Grand Deck USER.60cr All In RERAReg PH XXXXXXXXXX,No,No,No
smishing,DEAR CUSTOMER YOUR VODAFONE SIM CARD DOCU-MENT HAS BEEN PENDING CALL CUSTOMER CARE PH XXXXXXXXXX YOUR NUMBER HAS BEEN BLOCK TODAY CALL IMMEDIATELY,No,No,No
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",No,No,No
ham,No da. I am happy that we sit together na,No,No,No
smishing,steve madden big weekend is here buy  get  off buy  get  off buy  get  off valid from thth jan happy shoepping tc,No,No,No
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",No,No,No
spam,Joachim Low is confident that his Germany side can build on their World Cup triumph by going on to dominate the international stage.,No,No,No
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,No,No,No
ham,How? Izzit still raining?,No,No,No
smishing,discounted gb data pack is now active on your number  with a fixed monthly rental of rs  on vodafone network discounting applies on vodafone network content downloads get charged as per web site rates dial  toll free to check internet pack detailsto update your email id sms emailemailid to,No,No,No
spam,enjoy  up front discount on wednesday bazaar big bazaar on shopping of rs  above using your hdfc bank debit card max discount rs  t c apply,No,No,No
smishing,"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: purposeliberals.com/yF70SNqOKV",No,No,No
ham,Hey... What time is your driving on fri? We go for evaluation on fri?,No,No,No
smishing,ACCOUNT BLOCKED YOUR LUNO WALLET HAS BEEN BLOCKED DUE TO SSL UPGRADES PLEASE CLICK http://bit.ly/2sdbG71 TO REACTIVATE,Yes,No,No
spam,titan eye  offers upto  off on frames till  jan  and upto  off on fastrack sunglasses till  feb  ambedkar road store  t c apply,No,No,No
ham,Hi. I'm always online on yahoo and would like to chat with you someday,No,No,No
smishing,Dear Customer your SIM Card Document KYC have be Pending your sim card will be block within XX hr call Customer care immediately XXXXXXXXXX,No,No,No
spam,brbest deal of  ready possn  bhk at just  cr at kalpataru siddhachal pokhran road  thane to grab,No,No,No
spam,weekend offer get flat  off on winter stock only for  days   so hurry up don t miss the chance at kidz lifestyle   street fashion camp   near geeta bhawan wali gali   sirsa  tc apply,No,No,No
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),No,No,No
smishing,You 're invite to watch our sexy dealer tonight Enter VIP code GANDA sa log-in philnewz.com/login,No,No,No
smishing,Here are some exercises that you can do to stay physically active during self-quarantine! Click this free video link: http://l.jazzmobilemag.pk/MtX5lCb/dac1,Yes,No,No
smishing,idea gold bonanaza challenge season now going onget ready to win  lakh gold laptop ac refrigerator daily talktime and morecall  free  play,No,No,No
smishing,aircel best offer recharge with rc and get mb g internet valid for  days to recharge dial,No,No,No
smishing,fashion friday on tv shop  today  to  pm  upto  discount on all fashion product upto rs cashback  to order  call,No,No,No
ham,Ha ha cool cool chikku chikku:-):-DB-),No,No,No
smishing,offer recharge with rs or dial   get  ln sms  with  days validity offercall  paiye pimple free skin offerchatpati baatein dial,No,No,No
ham,Oic... I saw him too but i tot he din c me... I found a group liao...,No,No,No
smishing,Dear HP GAS Consumer LPG Subsidy for Cash Memo XXXXXXX dt XX-XX-XX transfer to your bank account xxx41 in UNION BANK OF INDIA,No,No,No
smishing,XXX Looking for Pay day or instalment Get Here needhelp.world ..,No,No,No
spam,PARAMOUNT PRESENTS FLORAVILLE*2/3 BHK FLATS @ 28.47Lacs*E-Homes Facility*Paymnt options Availble.Sector 137  Expressway   NoidaForEnquiry:9268572028 9212359576,No,No,Yes
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",No,No,No
ham,"Cool, I'll text you in a few",No,No,No
smishing,"Hello Sajitha, I'm currently in the US and need assistance with resetting my hearing aids. Could you please help? I require a pin or code number. Kindly acknowledge receipt and respond today. Thank you. I'm in Fayetteville, Arkansas, and might need an agent here.",No,No,No
ham,And several to you sir.,No,No,No
smishing,FRM:WA COVID-19 Information MSG:You have $1087 unclaimed covid-19Support payment money : https://forms.gle/gxXAfiJ2Gc2GvDLs6?JSRAOJLDWYJS,Yes,No,No
ham,"Sorry, I'll call later  &lt;#&gt; mins",No,No,No
smishing,confident group th anniversary special offer on spot booking confident phoenix luxurious apartments in calicut for details call,No,No,No
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,No,No,No
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,No,No,No
spam,Dear Privileged Customer your application will be process soon http://p3v.in/KLKZNLPPYLAHN,Yes,No,No
ham,Joy's father is John. Then John is the NAME of Joy's father. Sweta,No,No,No
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?,No,No,No
spam,best the stains with askmegrocery get  off on detergents category use clean for  off  extra  mobikwik cashback visit httpgooglwuty,No,No,No
smishing,hour unlimited calls rc unlimited local airtel calls for  days to subscribe now dial,No,No,No
smishing,HSBC SECURITY ALERT A payment be attempt from a new device If this be not you please login to https //cancel-payments.co,No,No,No
ham,Thanks. Fills me with complete calm and reassurance!,No,No,No
ham,Dude ive been seeing a lotta corvettes lately,No,No,No
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",No,No,No
ham,As if i wasn't having enough trouble sleeping.,No,No,No
ham,Fuck cedar key and fuck her (come over anyway tho),No,No,No
spam,sweatshirts  sweaters  jackets starting at rs only huge discounts on top brands shop now on yepme app mdealcototqotm,No,No,No
ham,Is fujitsu s series lifebook good?,No,No,No
spam,full body thai massage by expert new female staff golden heritage spa nd flor r kay mall panchwati udaipur,No,No,No
smishing,Hi Samuel it 's Mary volunteer with MoveOn Polls be now open for today 's primary election MoveOn member have endorse progressive candidate Daniel Biss for Governor Litesa Wallace for Lieutenant Governor Can we count on you to be a voter today,No,No,No
spam,COVID-PASS Your personal record need update You will not be able to use your digital pas visit passform-activation.com to activate,No,No,No
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",No,No,No
smishing,Body Massage In Ahmadabad With Beautiful Girls Exotic Spa Salon XXX XXX -45min Turkish With 2Girls XXXX Good Looking Staff Call XXXXXXXXXX XXXXXXXXXX,No,No,No
spam,the fabulous makeup range from lifestyle stores is now at landmarkshopsin flat rs off on min online shopping of rs code promo httpgooglxstbo,No,No,No
smishing,"INR 55,000 be credit to you A C NO.XXXX8052 on XX FEB XXXX through NEFT N563X2 Check your balance http://f3sr.com/6D7UTOi 1qr",Yes,No,No
spam,get upto  off making charges of elegant  stylish  modern  traditional gold  diamond jewellery suvarnakala satellite c g road tc sunday closed,No,No,No
